"Year","Area_type","Area_code","Area_description","Disability_indicator_code","Disability_indicator_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Census_usually_resident_population_count_aged_5_years_and_over","Disability_indicator_by_Maori_ethnic_group_indicator_summary_percent","Disability_indicator_percent"
2018,"Regional Council","14","Otago Region","7","Response unidentifiable","00","No 'Maori' response given","6","..",".."
2018,"Regional Council","14","Otago Region","7","Response unidentifiable","20","Maori","C","..",".."
2018,"Regional Council","14","Otago Region","7","Response unidentifiable","Total","Total","9","..",".."
2018,"Regional Council","14","Otago Region","9","Not stated","00","No 'Maori' response given","23250","..",".."
2018,"Regional Council","14","Otago Region","9","Not stated","20","Maori","3531","..",".."
2018,"Regional Council","14","Otago Region","9","Not stated","Total","Total","26778","..",".."
2018,"Regional Council","14","Otago Region","Total","Total","00","No 'Maori' response given","196029","..",".."
2018,"Regional Council","14","Otago Region","Total","Total","20","Maori","17568","..",".."
2018,"Regional Council","14","Otago Region","Total","Total","Total","Total","213597","..",".."
2018,"Regional Council","14","Otago Region","Total stated","Total stated","00","No 'Maori' response given","172770","..","100.0"
2018,"Regional Council","14","Otago Region","Total stated","Total stated","20","Maori","14037","100.0","100.0"
2018,"Regional Council","14","Otago Region","Total stated","Total stated","Total","Total","186807","..","100.0"
2018,"Regional Council","15","Southland Region","0","Not disabled","00","No 'Maori' response given","65085",".."," 92.4"
2018,"Regional Council","15","Southland Region","0","Not disabled","20","Maori","9423"," 92.6"," 92.6"
2018,"Regional Council","15","Southland Region","0","Not disabled","Total","Total","74505",".."," 92.4"
2018,"Regional Council","15","Southland Region","1","Disabled","00","No 'Maori' response given","5352","..","  7.6"
2018,"Regional Council","15","Southland Region","1","Disabled","20","Maori","759","  7.5","  7.5"
2018,"Regional Council","15","Southland Region","1","Disabled","Total","Total","6111","..","  7.6"
2018,"Regional Council","15","Southland Region","7","Response unidentifiable","00","No 'Maori' response given","12","..",".."
2018,"Regional Council","15","Southland Region","7","Response unidentifiable","20","Maori","C","..",".."
2018,"Regional Council","15","Southland Region","7","Response unidentifiable","Total","Total","15","..",".."
2018,"Regional Council","15","Southland Region","9","Not stated","00","No 'Maori' response given","8010","..",".."
2018,"Regional Council","15","Southland Region","9","Not stated","20","Maori","2766","..",".."
2018,"Regional Council","15","Southland Region","9","Not stated","Total","Total","10779","..",".."
2018,"Regional Council","15","Southland Region","Total","Total","00","No 'Maori' response given","78459","..",".."
2018,"Regional Council","15","Southland Region","Total","Total","20","Maori","12945","..",".."
2018,"Regional Council","15","Southland Region","Total","Total","Total","Total","91407","..",".."
2018,"Regional Council","15","Southland Region","Total stated","Total stated","00","No 'Maori' response given","70434","..","100.0"
2018,"Regional Council","15","Southland Region","Total stated","Total stated","20","Maori","10179","100.0","100.0"
2018,"Regional Council","15","Southland Region","Total stated","Total stated","Total","Total","80613","..","100.0"
2018,"Regional Council","16","Tasman Region","0","Not disabled","00","No 'Maori' response given","38022",".."," 93.6"
2018,"Regional Council","16","Tasman Region","0","Not disabled","20","Maori","2964"," 92.8"," 92.8"
2018,"Regional Council","16","Tasman Region","0","Not disabled","Total","Total","40983",".."," 93.5"
2018,"Regional Council","16","Tasman Region","1","Disabled","00","No 'Maori' response given","2607","..","  6.4"
2018,"Regional Council","16","Tasman Region","1","Disabled","20","Maori","231","  7.2","  7.2"
2018,"Regional Council","16","Tasman Region","1","Disabled","Total","Total","2841","..","  6.5"
2018,"Regional Council","16","Tasman Region","7","Response unidentifiable","00","No 'Maori' response given","C","..",".."
2018,"Regional Council","16","Tasman Region","7","Response unidentifiable","20","Maori","C","..",".."
2018,"Regional Council","16","Tasman Region","7","Response unidentifiable","Total","Total","6","..",".."
2018,"Regional Council","16","Tasman Region","9","Not stated","00","No 'Maori' response given","5139","..",".."
