"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2006","Statistical Area 2","117700","Northcross","330"
"2006","Statistical Area 2","117800","Oteha West","350"
"2006","Statistical Area 2","117900","Waiake","330"
"2006","Statistical Area 2","118000","Waitakere","270"
"2006","Statistical Area 2","118100","Albany South","350"
"2006","Statistical Area 2","118200","Browns Bay South West","350"
"2006","Statistical Area 2","118300","Browns Bay Central","300"
"2006","Statistical Area 2","118400","Schnapper Rock","430"
"2006","Statistical Area 2","118500","Pinehill","330"
"2006","Statistical Area 2","118600","North Harbour","310"
"2006","Statistical Area 2","118700","Browns Bay South East","340"
"2006","Statistical Area 2","118800","Westgate Central","310"
"2006","Statistical Area 2","118900","Greenhithe West","330"
"2006","Statistical Area 2","119000","Rothesay Bay","340"
"2006","Statistical Area 2","119100","Greenhithe East","480"
"2006","Statistical Area 2","119200","Hobsonville","350"
"2006","Statistical Area 2","119300","Inlet Waitemata Harbour","C"
"2006","Statistical Area 2","119400","Greenhithe South","300"
"2006","Statistical Area 2","119500","Murrays Bay West","360"
"2006","Statistical Area 2","119600","Westgate South","230"
"2006","Statistical Area 2","119700","Windsor Park","330"
"2006","Statistical Area 2","119800","West Harbour West","280"
"2006","Statistical Area 2","119900","Unsworth Heights West","380"
"2006","Statistical Area 2","120000","Murrays Bay East","350"
"2006","Statistical Area 2","120100","Birdwood West","280"
"2006","Statistical Area 2","120200","Hobsonville Point","100"
"2006","Statistical Area 2","120300","West Harbour Clearwater Cove","380"
"2006","Statistical Area 2","120400","Unsworth Heights East","340"
"2006","Statistical Area 2","120500","Mairangi Bay North","370"
"2006","Statistical Area 2","120600","Massey Central","280"
"2006","Statistical Area 2","120700","West Harbour Luckens Point","380"
"2006","Statistical Area 2","120800","Mairangi Bay South","380"
"2006","Statistical Area 2","120900","Massey Royal Road West","280"
"2006","Statistical Area 2","121000","Bayview East","300"
"2006","Statistical Area 2","121100","Swanson Rural","240"
"2006","Statistical Area 2","121200","Sunnynook South","320"
"2006","Statistical Area 2","121300","Sunnynook North","330"
"2006","Statistical Area 2","121400","Bayview West","300"
"2006","Statistical Area 2","121500","Totara Vale North","330"
"2006","Statistical Area 2","121600","Royal Heights North","270"
"2006","Statistical Area 2","121700","Massey West","280"
"2006","Statistical Area 2","121800","Beach Haven West","290"
"2006","Statistical Area 2","121900","Totara Vale South","280"
"2006","Statistical Area 2","122000","Swanson","280"
"2006","Statistical Area 2","122100","Bayview South","320"
"2006","Statistical Area 2","122200","Campbells Bay","350"
"2006","Statistical Area 2","122300","Royal Heights South","240"
"2006","Statistical Area 2","122400","Beach Haven East","250"
"2006","Statistical Area 2","122500","Massey East","250"
"2006","Statistical Area 2","122600","Forrest Hill North","330"
"2006","Statistical Area 2","122700","Glenfield North","300"
"2006","Statistical Area 2","122800","Birkdale North","290"
"2006","Statistical Area 2","122900","Massey South","270"
"2006","Statistical Area 2","123000","Ranui North","260"
"2006","Statistical Area 2","123100","Glenfield West","300"
"2006","Statistical Area 2","123200","Te Atatu Peninsula North West","280"
"2006","Statistical Area 2","123300","Glenfield South West","310"
"2006","Statistical Area 2","123400","Forrest Hill West","350"
"2006","Statistical Area 2","123500","Wairau Valley","290"
"2006","Statistical Area 2","123600","Forrest Hill East","310"
"2006","Statistical Area 2","123700","Castor Bay","350"
"2006","Statistical Area 2","123800","Ranui Domain","270"
"2006","Statistical Area 2","123900","Beach Haven South","320"
"2006","Statistical Area 2","124000","Glenfield Central","280"
"2006","Statistical Area 2","124100","Piha","280"
"2006","Statistical Area 2","124200","Ranui South West","260"
"2006","Statistical Area 2","124300","Henderson Larnoch","270"
"2006","Statistical Area 2","124400","Birkdale South","310"
"2006","Statistical Area 2","124500","Te Atatu Peninsula Central","270"
"2006","Statistical Area 2","124600","Glenfield East","300"
"2006","Statistical Area 2","124700","Henderson Valley","250"
"2006","Statistical Area 2","124800","Te Atatu Peninsula West","290"
"2006","Statistical Area 2","124900","Henderson Lincoln West","280"
"2006","Statistical Area 2","125000","Ranui South East","250"
"2006","Statistical Area 2","125100","Henderson Lincoln East","210"
"2006","Statistical Area 2","125200","Birkenhead West","310"
"2006","Statistical Area 2","125300","Te Atatu Peninsula East","330"
"2006","Statistical Area 2","125400","Milford West","290"
"2006","Statistical Area 2","125500","Westlake","300"
"2006","Statistical Area 2","125600","Hillcrest North (Auckland)","280"
"2006","Statistical Area 2","125700","Henderson Lincoln South","280"
"2006","Statistical Area 2","125800","Hillcrest West (Auckland)","300"
"2006","Statistical Area 2","125900","Milford Central","350"
"2006","Statistical Area 2","126000","Summerland South","390"
"2006","Statistical Area 2","126100","Summerland North","350"
"2006","Statistical Area 2","126200","Hillcrest East (Auckland)","280"
"2006","Statistical Area 2","126300","Chatswood","380"
"2006","Statistical Area 2","126400","Te Atatu South-Edmonton","270"
"2006","Statistical Area 2","126500","Birkenhead North","310"
"2006","Statistical Area 2","126600","Takapuna West","300"
"2006","Statistical Area 2","126700","Henderson North","290"
"2006","Statistical Area 2","126800","Takapuna Central","400"
"2006","Statistical Area 2","126900","Western Heights (Auckland)","300"
"2006","Statistical Area 2","127000","Te Atatu South-Central","270"
"2006","Statistical Area 2","127100","Northcote Central (Auckland)","150"
"2006","Statistical Area 2","127200","Akoranga","240"
"2006","Statistical Area 2","127300","Northcote South (Auckland)","300"
"2006","Statistical Area 2","127400","Birkenhead South","310"
"2006","Statistical Area 2","127500","Henderson Central","130"
"2006","Statistical Area 2","127600","Waiatarua","260"
"2006","Statistical Area 2","127700","Te Atatu South-McLeod North","280"
"2006","Statistical Area 2","127800","Henderson Valley Park","250"
"2006","Statistical Area 2","127900","Henderson North East","250"
"2006","Statistical Area 2","128000","Waitakere Ranges South","240"
"2006","Statistical Area 2","128100","Northcote Tuff Crater","320"
"2006","Statistical Area 2","128200","Northcote Point (Auckland)","320"
"2006","Statistical Area 2","128300","McLaren Park","260"
"2006","Statistical Area 2","128400","Henderson East","260"
"2006","Statistical Area 2","128500","Te Atatu South-McLeod South","260"
"2006","Statistical Area 2","128600","Takapuna South","390"
"2006","Statistical Area 2","128700","Rosebank Peninsula","400"
"2006","Statistical Area 2","128800","Hauraki","300"
"2006","Statistical Area 2","128900","Glendene North","280"
"2006","Statistical Area 2","129000","Sunnyvale West-Parrs Park","300"
"2006","Statistical Area 2","129100","Sunnyvale East","280"
"2006","Statistical Area 2","129200","Point Chevalier West","280"
"2006","Statistical Area 2","129300","Belmont (Auckland)","260"
"2006","Statistical Area 2","129400","Bayswater","110"
"2006","Statistical Area 2","129500","Glendene South","270"
"2006","Statistical Area 2","129600","Glen Eden West","260"
"2006","Statistical Area 2","129700","Herne Bay","330"
"2006","Statistical Area 2","129800","Westmere North","360"
"2006","Statistical Area 2","129900","Point Chevalier East","300"
"2006","Statistical Area 2","130000","Oratia","270"
"2006","Statistical Area 2","130100","Glen Eden Rosier","270"
"2006","Statistical Area 2","130200","Saint Marys Bay","300"
"2006","Statistical Area 2","130300","Westmere South-Western Springs","350"
"2006","Statistical Area 2","130400","Ponsonby West","350"
"2006","Statistical Area 2","130500","Kelston North","280"
"2006","Statistical Area 2","130600","Avondale Rosebank","280"
"2006","Statistical Area 2","130700","Narrow Neck","280"
"2006","Statistical Area 2","130800","Glen Eden North","250"
"2006","Statistical Area 2","130900","Glen Eden Woodglen","260"
"2006","Statistical Area 2","131000","Kelston South","230"
"2006","Statistical Area 2","131100","Waterview","240"
"2006","Statistical Area 2","131200","Ponsonby East","420"
"2006","Statistical Area 2","131300","Wynyard-Viaduct","480"
"2006","Statistical Area 2","131400","Stanley Point","300"
"2006","Statistical Area 2","131500","Glen Eden Central","270"
"2006","Statistical Area 2","131600","Grey Lynn North","380"
"2006","Statistical Area 2","131700","Avondale West (Auckland)","220"
"2006","Statistical Area 2","131800","Freemans Bay","350"
"2006","Statistical Area 2","131900","Mount Albert West","260"
"2006","Statistical Area 2","132000","Avondale North (Auckland)","280"
"2006","Statistical Area 2","132100","Grey Lynn West","300"
"2006","Statistical Area 2","132200","Mount Albert North","280"
"2006","Statistical Area 2","132300","New Lynn North","240"
"2006","Statistical Area 2","132400","Victoria Park","300"
"2006","Statistical Area 2","132500","Konini","290"
"2006","Statistical Area 2","132600","New Lynn North West","260"
"2006","Statistical Area 2","132700","Hobson Ridge North","320"
"2006","Statistical Area 2","132800","Grey Lynn Central","390"
"2006","Statistical Area 2","132900","Fruitvale","260"
"2006","Statistical Area 2","133000","Devonport","300"
"2006","Statistical Area 2","133100","Avondale Central (Auckland)","230"
"2006","Statistical Area 2","133200","Queen Street","280"
"2006","Statistical Area 2","133300","Quay Street-Customs Street","440"
"2006","Statistical Area 2","133400","Hobson Ridge Central","300"
"2006","Statistical Area 2","133500","Grey Lynn East","370"
"2006","Statistical Area 2","133600","Morningside (Auckland)","280"
"2006","Statistical Area 2","133700","Shortland Street","320"
"2006","Statistical Area 2","133800","Hobson Ridge South","300"
"2006","Statistical Area 2","133900","New Lynn Central","260"
"2006","Statistical Area 2","134000","Cheltenham","290"
"2006","Statistical Area 2","134100","Queen Street South West","250"
"2006","Statistical Area 2","134200","Mount Albert Central","270"
"2006","Statistical Area 2","134300","Karangahape","320"
"2006","Statistical Area 2","134400","Kingsland","360"
"2006","Statistical Area 2","134500","Anzac Avenue","300"
"2006","Statistical Area 2","134600","Waima-Woodlands Park","320"
"2006","Statistical Area 2","134700","Kaurilands","280"
"2006","Statistical Area 2","134800","Auckland-University","250"
"2006","Statistical Area 2","134900","New Lynn Seabrook","250"
"2006","Statistical Area 2","135000","Avondale South (Auckland)","250"
"2006","Statistical Area 2","135100","Symonds Street North West","270"
"2006","Statistical Area 2","135200","Mount Albert South","270"
"2006","Statistical Area 2","135300","Symonds Street West","280"
"2006","Statistical Area 2","135400","West Lynn","290"
"2006","Statistical Area 2","135500","Owairaka West","250"
"2006","Statistical Area 2","135600","New Lynn Central South","250"
"2006","Statistical Area 2","135700","The Strand","350"
"2006","Statistical Area 2","135800","St Lukes","350"
"2006","Statistical Area 2","135900","Symonds Street East","270"
"2006","Statistical Area 2","136000","Eden Terrace","340"
"2006","Statistical Area 2","136100","Grafton","300"
"2006","Statistical Area 2","136200","Eden Park","320"
"2006","Statistical Area 2","136300","Sandringham North","300"
"2006","Statistical Area 2","136400","Parnell West","400"
"2006","Statistical Area 2","136500","New Lynn South","250"
"2006","Statistical Area 2","136600","New Windsor North","300"
"2006","Statistical Area 2","136700","Titirangi South","280"
"2006","Statistical Area 2","136800","Owairaka East","270"
"2006","Statistical Area 2","136900","Eden Valley","250"
"2006","Statistical Area 2","137000","Sandringham Central","270"
"2006","Statistical Area 2","137100","Glenavon","220"
"2006","Statistical Area 2","137200","Blockhouse Bay North","250"
"2006","Statistical Area 2","137300","Green Bay North","260"
"2006","Statistical Area 2","137400","Parnell East","350"
"2006","Statistical Area 2","137500","Laingholm","300"
"2006","Statistical Area 2","137600","Sandringham West","300"
"2006","Statistical Area 2","137700","Mount Eden North East","380"
"2006","Statistical Area 2","137800","Mount Eden North","250"
"2006","Statistical Area 2","137900","Wesley West","150"
"2006","Statistical Area 2","138000","Green Bay South","280"
"2006","Statistical Area 2","138100","Balmoral","290"
"2006","Statistical Area 2","138200","Sandringham East","270"
"2006","Statistical Area 2","138300","New Windsor South","280"
"2006","Statistical Area 2","138400","Mount Eden West","280"
"2006","Statistical Area 2","138500","Newmarket","340"
"2006","Statistical Area 2","138600","Blockhouse Bay North East","300"
"2006","Statistical Area 2","138700","Epsom North","310"
"2006","Statistical Area 2","138800","Wesley South","70"
"2006","Statistical Area 2","138900","Blockhouse Bay South","300"
"2006","Statistical Area 2","139000","Mount Eden East","280"
"2006","Statistical Area 2","139100","Wesley East","100"
