"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Statistical Area 2","104000","Mataraua Forest","20","Maori","17100"
"2018","Statistical Area 2","104000","Mataraua Forest","Total","Total","19700"
"2018","Statistical Area 2","104100","Matawaia-Taumarere","00","No 'Maori' response given","25600"
"2018","Statistical Area 2","104100","Matawaia-Taumarere","20","Maori","21600"
"2018","Statistical Area 2","104100","Matawaia-Taumarere","Total","Total","22900"
"2018","Statistical Area 2","104200","Russell Peninsula","00","No 'Maori' response given","25700"
"2018","Statistical Area 2","104200","Russell Peninsula","20","Maori","23900"
"2018","Statistical Area 2","104200","Russell Peninsula","Total","Total","25600"
"2018","Statistical Area 2","104300","Opua (Far North District)","00","No 'Maori' response given","27300"
"2018","Statistical Area 2","104300","Opua (Far North District)","20","Maori","28000"
"2018","Statistical Area 2","104300","Opua (Far North District)","Total","Total","27300"
"2018","Statistical Area 2","104400","Russell Forest-Rawhiti","00","No 'Maori' response given","22700"
"2018","Statistical Area 2","104400","Russell Forest-Rawhiti","20","Maori","19400"
"2018","Statistical Area 2","104400","Russell Forest-Rawhiti","Total","Total","20400"
"2018","Statistical Area 2","104500","Moerewa","00","No 'Maori' response given","20000"
"2018","Statistical Area 2","104500","Moerewa","20","Maori","19200"
"2018","Statistical Area 2","104500","Moerewa","Total","Total","19400"
"2018","Statistical Area 2","104600","Kawakawa","00","No 'Maori' response given","24900"
"2018","Statistical Area 2","104600","Kawakawa","20","Maori","21600"
"2018","Statistical Area 2","104600","Kawakawa","Total","Total","22800"
"2018","Statistical Area 2","104700","Maromaku","00","No 'Maori' response given","27900"
"2018","Statistical Area 2","104700","Maromaku","20","Maori","24200"
"2018","Statistical Area 2","104700","Maromaku","Total","Total","26300"
"2018","Statistical Area 2","104800","Mangakahia-Hukerenui","00","No 'Maori' response given","32500"
"2018","Statistical Area 2","104800","Mangakahia-Hukerenui","20","Maori","20300"
"2018","Statistical Area 2","104800","Mangakahia-Hukerenui","Total","Total","26800"
"2018","Statistical Area 2","104900","Whangaruru","00","No 'Maori' response given","28100"
"2018","Statistical Area 2","104900","Whangaruru","20","Maori","19200"
"2018","Statistical Area 2","104900","Whangaruru","Total","Total","24300"
"2018","Statistical Area 2","105000","Inlets other Whangarei District","00","No 'Maori' response given","17900"
"2018","Statistical Area 2","105000","Inlets other Whangarei District","20","Maori","C"
"2018","Statistical Area 2","105000","Inlets other Whangarei District","Total","Total","27300"
"2018","Statistical Area 2","105100","Matarau","00","No 'Maori' response given","37900"
"2018","Statistical Area 2","105100","Matarau","20","Maori","33600"
"2018","Statistical Area 2","105100","Matarau","Total","Total","37300"
"2018","Statistical Area 2","105200","Hikurangi","00","No 'Maori' response given","26100"
"2018","Statistical Area 2","105200","Hikurangi","20","Maori","24100"
"2018","Statistical Area 2","105200","Hikurangi","Total","Total","25200"
"2018","Statistical Area 2","105300","Kauri","00","No 'Maori' response given","35900"
"2018","Statistical Area 2","105300","Kauri","20","Maori","36000"
"2018","Statistical Area 2","105300","Kauri","Total","Total","36000"
"2018","Statistical Area 2","105400","Maungatapere","00","No 'Maori' response given","37200"
"2018","Statistical Area 2","105400","Maungatapere","20","Maori","31100"
"2018","Statistical Area 2","105400","Maungatapere","Total","Total","36500"
"2018","Statistical Area 2","105500","Kamo West","00","No 'Maori' response given","27600"
"2018","Statistical Area 2","105500","Kamo West","20","Maori","26600"
"2018","Statistical Area 2","105500","Kamo West","Total","Total","27400"
"2018","Statistical Area 2","105600","Matapouri-Tutukaka","00","No 'Maori' response given","33500"
"2018","Statistical Area 2","105600","Matapouri-Tutukaka","20","Maori","26700"
"2018","Statistical Area 2","105600","Matapouri-Tutukaka","Total","Total","32300"
"2018","Statistical Area 2","105700","Kiripaka","00","No 'Maori' response given","39400"
"2018","Statistical Area 2","105700","Kiripaka","20","Maori","23200"
"2018","Statistical Area 2","105700","Kiripaka","Total","Total","35400"
"2018","Statistical Area 2","105800","Kamo East","00","No 'Maori' response given","29500"
"2018","Statistical Area 2","105800","Kamo East","20","Maori","22300"
"2018","Statistical Area 2","105800","Kamo East","Total","Total","26300"
"2018","Statistical Area 2","105900","Granfield Reserve","00","No 'Maori' response given","27100"
