"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2013","Statistical Area 2","109800","Mangawhai Rural","250"
"2013","Statistical Area 2","109900","Mangawhai Heads","250"
"2013","Statistical Area 2","110000","Inlet Mangawhai Harbour","C"
"2013","Statistical Area 2","110100","Mangawhai","300"
"2013","Statistical Area 2","110200","Okahukura Peninsula","230"
"2013","Statistical Area 2","110300","Inlet Kaipara Harbour South","C"
"2013","Statistical Area 2","110400","Cape Rodney","280"
"2013","Statistical Area 2","110500","Wellsford","260"
"2013","Statistical Area 2","110600","Oceanic Auckland Region East","C"
"2013","Statistical Area 2","110700","South Head","280"
"2013","Statistical Area 2","110800","Kaipara Hills","250"
"2013","Statistical Area 2","110900","Dome Valley-Matakana","330"
"2013","Statistical Area 2","111000","Oceanic Auckland Region West","C"
"2013","Statistical Area 2","111100","Warkworth West","330"
"2013","Statistical Area 2","111200","Puhoi Valley","320"
"2013","Statistical Area 2","111300","Warkworth East","350"
"2013","Statistical Area 2","111400","Sandspit","370"
"2013","Statistical Area 2","111500","Tawharanui Peninsula","350"
"2013","Statistical Area 2","111600","Te Kuru","340"
"2013","Statistical Area 2","111700","Snells Beach","330"
"2013","Statistical Area 2","111800","Barrier Islands","150"
"2013","Statistical Area 2","111900","Algies Bay-Scotts Landing","340"
"2013","Statistical Area 2","112000","Inlets other Auckland","C"
"2013","Statistical Area 2","112100","Wainui-Waiwera","260"
"2013","Statistical Area 2","112200","Parakai","300"
"2013","Statistical Area 2","112300","Helensville Rural","300"
"2013","Statistical Area 2","112400","Helensville","310"
"2013","Statistical Area 2","112500","Waitoki","350"
"2013","Statistical Area 2","112600","Waikoukou Valley","320"
"2013","Statistical Area 2","112700","Orewa North","470"
"2013","Statistical Area 2","112800","Hatfields Beach","390"
"2013","Statistical Area 2","112900","Orewa South","360"
"2013","Statistical Area 2","113000","Orewa Central","370"
"2013","Statistical Area 2","113100","Millwater North","680"
"2013","Statistical Area 2","113200","Waipatukahu","300"
"2013","Statistical Area 2","113300","Millwater South","350"
"2013","Statistical Area 2","113400","Dairy Flat North","390"
"2013","Statistical Area 2","113500","Dairy Flat West","360"
"2013","Statistical Area 2","113600","Kingsway","430"
"2013","Statistical Area 2","113700","Riverhead Forest","C"
"2013","Statistical Area 2","113800","Silverdale Central (Auckland)","310"
"2013","Statistical Area 2","113900","Red Beach West","330"
"2013","Statistical Area 2","114000","Red Beach East","380"
"2013","Statistical Area 2","114100","Silverdale South (Auckland)","360"
"2013","Statistical Area 2","114200","Waimauku","350"
"2013","Statistical Area 2","114300","Gulf Islands","150"
"2013","Statistical Area 2","114400","Vipond","360"
"2013","Statistical Area 2","114500","Muriwai","350"
"2013","Statistical Area 2","114600","Stanmore Bay West","380"
"2013","Statistical Area 2","114700","Kumeu Rural West","350"
"2013","Statistical Area 2","114800","Okura Bush","400"
"2013","Statistical Area 2","114900","Whangaparoa Central","380"
"2013","Statistical Area 2","115000","Kumeu-Huapai","360"
"2013","Statistical Area 2","115100","Stanmore Bay East","370"
"2013","Statistical Area 2","115200","Manly West","370"
"2013","Statistical Area 2","115300","Muriwai Valley-Bethells Beach","370"
"2013","Statistical Area 2","115400","Tindalls-Matakatia","360"
"2013","Statistical Area 2","115500","Coatesville","400"
"2013","Statistical Area 2","115600","Dairy Flat South","400"
"2013","Statistical Area 2","115700","Gulf Harbour North","430"
"2013","Statistical Area 2","115800","Manly East","370"
"2013","Statistical Area 2","115900","Riverhead","400"
"2013","Statistical Area 2","116000","Army Bay","380"
"2013","Statistical Area 2","116100","Kumeu Rural East","320"
"2013","Statistical Area 2","116200","Gulf Harbour South","370"
"2013","Statistical Area 2","116300","Paremoremo West","360"
"2013","Statistical Area 2","116400","Taupaki","320"
"2013","Statistical Area 2","116500","Long Bay","400"
"2013","Statistical Area 2","116600","Paremoremo East","400"
"2013","Statistical Area 2","116700","Albany Heights","490"
"2013","Statistical Area 2","116800","Awaruku","440"
"2013","Statistical Area 2","116900","Fairview Heights","480"
"2013","Statistical Area 2","117000","Whenuapai","300"
"2013","Statistical Area 2","117100","Waitakere Ranges North","280"
"2013","Statistical Area 2","117200","Torbay","400"
"2013","Statistical Area 2","117300","Albany Central","290"
"2013","Statistical Area 2","117400","Albany West","500"
"2013","Statistical Area 2","117500","Glamorgan","400"
"2013","Statistical Area 2","117600","Oteha East","450"
"2013","Statistical Area 2","117700","Northcross","440"
"2013","Statistical Area 2","117800","Oteha West","380"
"2013","Statistical Area 2","117900","Waiake","450"
"2013","Statistical Area 2","118000","Waitakere","320"
"2013","Statistical Area 2","118100","Albany South","450"
"2013","Statistical Area 2","118200","Browns Bay South West","460"
"2013","Statistical Area 2","118300","Browns Bay Central","400"
"2013","Statistical Area 2","118400","Schnapper Rock","540"
"2013","Statistical Area 2","118500","Pinehill","480"
"2013","Statistical Area 2","118600","North Harbour","340"
